ua,especialidad,estado,fecha_inicio,fecha_fin,numeros,asignados,asistidos,libres,fecha_datos
Luisa Tirapare,Odontología,Cerrada,2025-01-10 13:30:00,2025-01-10 15:30:00,4,2,1,0,2025-03-15 06:01:41
Barrio Sur,Partera,Cerrada,2025-01-10 13:30:00,2025-01-10 15:30:00,6,5,4,0,2025-03-15 06:01:41
Paso De La Arena,Medicina Familiar,Cerrada,2025-01-10 13:30:00,2025-01-10 15:30:00,6,6,4,0,2025-03-15 06:01:41
Aquiles Lanza,Trabajo Social,Cerrada,2025-01-10 14:00:00,2025-01-10 14:30:00,1,1,1,0,2025-03-15 06:01:41
Francisco Pucci,Odontología,Cerrada,2025-01-10 14:00:00,2025-01-10 14:30:00,2,2,2,0,2025-03-15 06:01:41
Jose P. Varela,Odontología,Cerrada,2025-01-10 14:00:00,2025-01-10 14:30:00,2,2,2,0,2025-03-15 06:01:41
Jose P. Varela,Odontología,Cerrada,2025-01-10 14:00:00,2025-01-10 15:00:00,2,3,2,0,2025-03-15 06:01:41
Yucatan,Pediatría,Cerrada,2025-01-10 14:00:00,2025-01-10 15:00:00,3,2,2,0,2025-03-15 06:01:41
Jose P. Varela,Odontología,Cerrada,2025-01-10 14:00:00,2025-01-10 16:00:00,4,3,0,0,2025-03-15 06:01:41
Yano Rodriguez,Odontología,Cerrada,2025-01-10 14:00:00,2025-01-10 16:30:00,5,5,5,0,2025-03-15 06:01:41
Yano Rodriguez,Odontología,Cerrada,2025-01-10 14:00:00,2025-01-10 16:30:00,5,5,4,0,2025-03-15 06:01:41
Aquiles Lanza,Odontología,Cerrada,2025-01-10 14:15:00,2025-01-10 15:15:00,4,2,2,0,2025-03-15 06:01:41
Los Angeles,Medicina Familiar,Cerrada,2025-01-10 14:15:00,2025-01-10 16:00:00,5,5,2,0,2025-03-15 06:01:41
Lavalleja,Pediatría,Cerrada,2025-01-10 14:20:00,2025-01-10 15:00:00,2,1,1,0,2025-03-15 06:01:41
Jose P. Varela,Odontología,Cerrada,2025-01-10 14:30:00,2025-01-10 15:00:00,1,1,0,0,2025-03-15 06:01:41
Francisco Pucci,Odontología,Cerrada,2025-01-10 14:30:00,2025-01-10 15:30:00,2,3,3,0,2025-03-15 06:01:41
Barrio Sur,Psiquiatría,Cerrada,2025-01-10 14:30:00,2025-01-10 16:30:00,4,4,0,0,2025-03-15 06:01:41
Paso De La Arena,Medicina Familiar,Cerrada,2025-01-10 14:30:00,2025-01-10 16:30:00,6,8,7,0,2025-03-15 06:01:41
Aquiles Lanza,Trabajo Social,Cerrada,2025-01-10 14:40:00,2025-01-10 15:40:00,2,3,3,0,2025-03-15 06:01:41
Casabo,Enfermería,Cerrada,2025-01-10 15:00:00,2025-01-10 15:15:00,1,1,1,0,2025-03-15 06:01:41
Los Angeles,Medicina Familiar,Cerrada,2025-01-10 15:00:00,2025-01-10 16:00:00,2,2,1,0,2025-03-15 06:01:41
Colon,Enfermería,Cerrada,2025-01-10 15:00:00,2025-01-10 16:00:00,3,3,3,0,2025-03-15 06:01:41
Los Angeles,Pediatría,Cerrada,2025-01-10 15:00:00,2025-01-10 16:00:00,2,2,2,0,2025-03-15 06:01:41
Yucatan,Pediatría,Cerrada,2025-01-10 15:00:00,2025-01-10 17:00:00,6,6,5,0,2025-03-15 06:01:41
Luisa Tirapare,Medicina General,Cerrada,2025-01-10 15:20:00,2025-01-10 17:00:00,5,6,6,0,2025-03-15 06:01:41
Luisa Tirapare,Odontología,Cerrada,2025-01-10 15:30:00,2025-01-10 16:30:00,4,4,0,0,2025-03-15 06:01:41
Francisco Pucci,Odontología,Cerrada,2025-01-10 15:30:00,2025-01-10 17:30:00,4,4,3,0,2025-03-15 06:01:41
Lavalleja,Ginecoobstetricia,Cerrada,2025-01-10 15:40:00,2025-01-10 16:40:00,3,1,1,0,2025-03-15 06:01:41
Jose P. Varela,Odontología,Cerrada,2025-01-10 16:00:00,2025-01-10 16:30:00,1,1,1,0,2025-03-15 06:01:41
Los Angeles,Pediatría,Cerrada,2025-01-10 16:00:00,2025-01-10 17:00:00,2,1,1,0,2025-03-15 06:01:41
Parque Bellan,Medicina General,Cerrada,2025-01-10 16:00:00,2025-01-10 17:00:00,3,3,2,0,2025-03-15 06:01:41
Yano Rodriguez,Odontología,Cerrada,2025-01-10 16:30:00,2025-01-10 17:00:00,1,1,0,0,2025-03-15 06:01:41
Yano Rodriguez,Odontología,Cerrada,2025-01-10 16:30:00,2025-01-10 17:30:00,2,2,1,0,2025-03-15 06:01:41
Barrio Sur,Psiquiatría,Cerrada,2025-01-10 17:00:00,2025-01-10 17:15:00,1,1,1,0,2025-03-15 06:01:41
Parque Bellan,Medicina General,Cerrada,2025-01-10 17:00:00,2025-01-10 17:20:00,1,1,1,0,2025-03-15 06:01:41
Luisa Tirapare,Medicina General,Cerrada,2025-01-10 17:00:00,2025-01-10 18:00:00,4,5,2,0,2025-03-15 06:01:41
Parque Bellan,Medicina General,Cerrada,2025-01-10 17:00:00,2025-01-10 18:00:00,3,5,5,0,2025-03-15 06:01:41
Lavalleja,Medicina Familiar,Cerrada,2025-01-11 07:00:00,2025-01-11 07:50:00,2,3,3,0,2025-03-15 06:01:41
Luisa Tirapare,Enfermería,Cerrada,2025-01-11 07:00:00,2025-01-11 10:00:00,18,15,15,0,2025-03-15 06:01:41
Crottogini,Medicina Familiar,Cerrada,2025-01-11 07:20:00,2025-01-11 08:20:00,3,3,0,0,2025-03-15 06:01:41
Crottogini,Partera,Cerrada,2025-01-11 07:20:00,2025-01-11 10:20:00,9,9,5,0,2025-03-15 06:01:41
Francisco Pucci,Odontología,Cerrada,2025-01-11 07:30:00,2025-01-11 09:00:00,6,5,3,0,2025-03-15 06:01:41
Francisco Pucci,Trabajo Social,Cerrada,2025-01-11 07:30:00,2025-01-11 12:00:00,9,0,0,0,2025-03-15 06:01:41
Francisco Pucci,Pediatría,Cerrada,2025-01-11 07:40:00,2025-01-11 10:10:00,7,6,5,0,2025-03-15 06:01:41
Lavalleja,Partera,Cerrada,2025-01-11 07:40:00,2025-01-11 12:00:00,13,12,6,0,2025-03-15 06:01:41
Aquiles Lanza,Medicina General,Cerrada,2025-01-11 08:00:00,2025-01-11 08:40:00,2,0,0,0,2025-03-15 06:01:41
La Paloma,Pediatría,Cerrada,2025-01-11 08:00:00,2025-01-11 09:00:00,3,0,0,0,2025-03-15 06:01:41
Zully Sanchez,Partera,Cerrada,2025-01-11 08:00:00,2025-01-11 09:20:00,4,4,4,0,2025-03-15 06:01:41
Casabo,Pediatría,Cerrada,2025-01-11 08:00:00,2025-01-11 10:00:00,6,7,2,0,2025-03-15 06:01:41
Luisa Tirapare,Medicina General,Cerrada,2025-01-11 08:00:00,2025-01-11 10:30:00,7,9,5,0,2025-03-15 06:01:41
La Paloma,Medicina Familiar,Cerrada,2025-01-11 08:00:00,2025-01-11 11:40:00,11,11,6,0,2025-03-15 06:01:41
Casavalle,Odontología,Cerrada,2025-01-11 08:00:00,2025-01-11 12:00:00,6,7,3,0,2025-03-15 06:01:41
Casavalle,Odontología,Cerrada,2025-01-11 08:00:00,2025-01-11 12:00:00,6,11,8,0,2025-03-15 06:01:41
La Teja,Medicina Familiar,Cerrada,2025-01-11 08:00:00,2025-01-11 12:00:00,12,12,5,0,2025-03-15 06:01:41
Casavalle,Medicina Familiar,Cerrada,2025-01-11 08:00:00,2025-01-11 12:30:00,9,17,16,0,2025-03-15 06:01:41
Lavalleja,Medicina Familiar,Cerrada,2025-01-11 08:10:00,2025-01-11 10:10:00,6,11,7,0,2025-03-15 06:01:41
Lavalleja,Psicología,Cerrada,2025-01-11 08:15:00,2025-01-11 13:15:00,5,5,5,0,2025-03-15 06:01:41
Crottogini,Medicina Familiar,Cerrada,2025-01-11 08:20:00,2025-01-11 09:20:00,2,2,2,0,2025-03-15 06:01:41
Aquiles Lanza,Medicina General,Cerrada,2025-01-11 08:40:00,2025-01-11 10:00:00,4,8,8,0,2025-03-15 06:01:41
La Paloma,Pediatría,Cerrada,2025-01-11 09:00:00,2025-01-11 10:00:00,2,2,2,0,2025-03-15 06:01:41
Francisco Pucci,Odontología,Cerrada,2025-01-11 09:00:00,2025-01-11 11:00:00,4,4,0,0,2025-03-15 06:01:41
Zully Sanchez,Medicina Familiar,Cerrada,2025-01-11 09:00:00,2025-01-11 12:00:00,9,9,6,0,2025-03-15 06:01:41
Zully Sanchez,Partera,Cerrada,2025-01-11 09:20:00,2025-01-11 11:40:00,7,8,7,0,2025-03-15 06:01:41
Crottogini,Medicina Familiar,Cerrada,2025-01-11 09:20:00,2025-01-11 12:40:00,10,10,8,0,2025-03-15 06:01:41
Casabo,Pediatría,Cerrada,2025-01-11 10:00:00,2025-01-11 10:20:00,1,1,1,0,2025-03-15 06:01:41
Barrio Sur,Psicología,Cerrada,2025-01-11 10:00:00,2025-01-11 11:00:00,2,2,1,0,2025-03-15 06:01:41
La Paloma,Partera,Cerrada,2025-01-11 10:00:00,2025-01-11 12:20:00,7,8,5,0,2025-03-15 06:01:41
La Paloma,Pediatría,Cerrada,2025-01-11 10:00:00,2025-01-11 12:20:00,7,7,4,0,2025-03-15 06:01:41
Aquiles Lanza,Medicina General,Cerrada,2025-01-11 10:00:00,2025-01-11 12:40:00,8,9,9,0,2025-03-15 06:01:41
Francisco Pucci,Pediatría,Cerrada,2025-01-11 10:10:00,2025-01-11 11:10:00,4,4,4,0,2025-03-15 06:01:41
Lavalleja,Medicina Familiar,Cerrada,2025-01-11 10:10:00,2025-01-11 12:40:00,5,5,3,0,2025-03-15 06:01:41
Casabo,Pediatría,Cerrada,2025-01-11 10:20:00,2025-01-11 10:40:00,1,1,1,0,2025-03-15 06:01:41
Crottogini,Partera,Cerrada,2025-01-11 10:20:00,2025-01-11 11:00:00,2,1,1,0,2025-03-15 06:01:41
Luisa Tirapare,Medicina General,Cerrada,2025-01-11 10:30:00,2025-01-11 12:10:00,5,6,6,0,2025-03-15 06:01:41
Casabo,Pediatría,Cerrada,2025-01-11 10:40:00,2025-01-11 11:00:00,1,2,1,0,2025-03-15 06:01:41
Casabo,Pediatría,Cerrada,2025-01-11 11:00:00,2025-01-11 11:30:00,2,3,3,0,2025-03-15 06:01:41
Francisco Pucci,Odontología,Cerrada,2025-01-11 11:00:00,2025-01-11 12:30:00,3,5,5,0,2025-03-15 06:01:41
Crottogini,Partera,Cerrada,2025-01-11 11:00:00,2025-01-11 13:00:00,6,2,1,0,2025-03-15 06:01:41
Francisco Pucci,Pediatría,Cerrada,2025-01-11 11:10:00,2025-01-11 12:10:00,2,2,2,0,2025-03-15 06:01:41
Casabo,Pediatría,Cerrada,2025-01-11 11:30:00,2025-01-11 12:00:00,1,1,1,0,2025-03-15 06:01:41
La Paloma,Medicina Familiar,Cerrada,2025-01-11 11:45:00,2025-01-11 12:00:00,1,1,0,0,2025-03-15 06:01:41
La Teja,Medicina Familiar,Cerrada,2025-01-11 12:00:00,2025-01-11 12:30:00,1,1,1,0,2025-03-15 06:01:41
Casabo,Pediatría,Cerrada,2025-01-11 12:00:00,2025-01-11 13:00:00,3,3,2,0,2025-03-15 06:01:41
Francisco Pucci,Pediatría,Cerrada,2025-01-11 12:10:00,2025-01-11 12:50:00,2,2,2,0,2025-03-15 06:01:41
Luisa Tirapare,Medicina General,Cerrada,2025-01-11 12:10:00,2025-01-11 13:00:00,2,3,2,0,2025-03-15 06:01:41
Crottogini,Medicina Familiar,Cerrada,2025-01-11 12:40:00,2025-01-11 13:00:00,1,1,1,0,2025-03-15 06:01:41
Casavalle,Medicina Familiar,Cerrada,2025-01-11 13:00:00,2025-01-11 13:30:00,2,2,1,0,2025-03-15 06:01:41
Punta De Rieles,Pediatría,Cerrada,2025-01-13 07:00:00,2025-01-13 08:00:00,4,4,3,0,2025-03-15 06:01:41
Barrio Sur,Medicina General,Cerrada,2025-01-13 07:00:00,2025-01-13 08:00:00,3,3,3,0,2025-03-15 06:01:41
Crottogini,Medicina Familiar,Cerrada,2025-01-13 07:00:00,2025-01-13 08:20:00,4,4,4,0,2025-03-15 06:01:41
Giraldez,Odontología,Cerrada,2025-01-13 07:00:00,2025-01-13 10:30:00,7,6,3,0,2025-03-15 06:01:41
Lavalleja,Partera,Cerrada,2025-01-13 07:20:00,2025-01-13 12:00:00,14,5,1,0,2025-03-15 06:01:41
Giraldez,Pediatría,Cerrada,2025-01-13 07:30:00,2025-01-13 09:30:00,6,6,2,0,2025-03-15 06:01:41
Lavalleja,Nutrición,Cerrada,2025-01-13 07:30:00,2025-01-13 12:30:00,15,9,5,0,2025-03-15 06:01:41
Francisco Pucci,Medicina Familiar,Cerrada,2025-01-13 07:40:00,2025-01-13 09:00:00,4,4,4,0,2025-03-15 06:01:41
La Paloma,Medicina Familiar,Cerrada,2025-01-13 08:00:00,2025-01-13 08:20:00,1,1,1,0,2025-03-15 06:01:41
La Teja,Odontología,Cerrada,2025-01-13 08:00:00,2025-01-13 08:30:00,1,0,0,0,2025-03-15 06:01:41
Los Angeles,Medicina Familiar,Cerrada,2025-01-13 08:00:00,2025-01-13 08:30:00,1,4,4,0,2025-03-15 06:01:41
Yucatan,Medicina General,Cerrada,2025-01-13 08:00:00,2025-01-13 08:30:00,2,2,2,0,2025-03-15 06:01:41
Punta De Rieles,Pediatría,Cerrada,2025-01-13 08:00:00,2025-01-13 08:30:00,2,1,1,0,2025-03-15 06:01:41
Crottogini,Odontología,Cerrada,2025-01-13 08:00:00,2025-01-13 09:00:00,2,2,2,0,2025-03-15 06:01:41
Francisco Pucci,Odontología,Cerrada,2025-01-13 08:00:00,2025-01-13 09:00:00,2,3,2,0,2025-03-15 06:01:41
Crottogini,Odontología,Cerrada,2025-01-13 08:00:00,2025-01-13 09:00:00,1,1,1,0,2025-03-15 06:01:41
Barrio Sur,Medicina General,Cerrada,2025-01-13 08:00:00,2025-01-13 10:00:00,6,6,3,0,2025-03-15 06:01:41
Aquiles Lanza,Medicina Familiar,Cerrada,2025-01-13 08:00:00,2025-01-13 10:00:00,6,10,7,0,2025-03-15 06:01:41
Parque Bellan,Medicina Familiar,Cerrada,2025-01-13 08:00:00,2025-01-13 10:00:00,6,6,6,0,2025-03-15 06:01:41
Buceo,Medicina Familiar,Cerrada,2025-01-13 08:00:00,2025-01-13 10:00:00,6,6,6,0,2025-03-15 06:01:41
Zully Sanchez,Medicina General,Cerrada,2025-01-13 08:00:00,2025-01-13 10:00:00,6,6,6,0,2025-03-15 06:01:41
Los Angeles,Medicina Familiar,Cerrada,2025-01-13 08:00:00,2025-01-13 10:20:00,7,9,9,0,2025-03-15 06:01:41
Punta De Rieles,Psicología,Cerrada,2025-01-13 08:00:00,2025-01-13 11:00:00,3,3,1,0,2025-03-15 06:01:41
Casavalle,Partera,Cerrada,2025-01-13 08:00:00,2025-01-13 12:30:00,9,14,9,0,2025-03-15 06:01:41
Yano Rodriguez,Odontología,Cerrada,2025-01-13 08:15:00,2025-01-13 08:30:00,1,1,1,0,2025-03-15 06:01:41
Crottogini,Medicina Familiar,Cerrada,2025-01-13 08:20:00,2025-01-13 09:20:00,2,2,1,0,2025-03-15 06:01:41
La Paloma,Medicina Familiar,Cerrada,2025-01-13 08:20:00,2025-01-13 11:20:00,9,12,8,0,2025-03-15 06:01:41
La Paloma,Pediatría,Cerrada,2025-01-13 08:30:00,2025-01-13 09:00:00,1,1,1,0,2025-03-15 06:01:41
Punta De Rieles,Pediatría,Cerrada,2025-01-13 08:30:00,2025-01-13 09:15:00,3,3,3,0,2025-03-15 06:01:41
Luisa Tirapare,Odontología,Cerrada,2025-01-13 08:30:00,2025-01-13 09:15:00,1,1,1,0,2025-03-15 06:01:41
Francisco Pucci,Ginecoobstetricia,Cerrada,2025-01-13 08:30:00,2025-01-13 09:15:00,3,1,1,0,2025-03-15 06:01:41
Luisa Tirapare,Psicología,Cerrada,2025-01-13 08:30:00,2025-01-13 09:30:00,1,1,1,0,2025-03-15 06:01:41
Aquiles Lanza,Pediatría,Cerrada,2025-01-13 08:30:00,2025-01-13 09:30:00,3,3,1,0,2025-03-15 06:01:41
La Teja,Odontología,Cerrada,2025-01-13 08:30:00,2025-01-13 09:30:00,4,4,2,0,2025-03-15 06:01:41
Paso De La Arena,Ginecoobstetricia,Cerrada,2025-01-13 08:30:00,2025-01-13 09:45:00,5,5,2,0,2025-03-15 06:01:41
Inve 16,Ginecoobstetricia,Cerrada,2025-01-13 08:30:00,2025-01-13 09:50:00,4,1,1,0,2025-03-15 06:01:41
La Paloma,Odontología,Cerrada,2025-01-13 08:30:00,2025-01-13 10:30:00,4,4,4,0,2025-03-15 06:01:41
Colon,Medicina General,Cerrada,2025-01-13 08:30:00,2025-01-13 10:30:00,6,6,3,0,2025-03-15 06:01:41
Yucatan,Medicina General,Cerrada,2025-01-13 08:30:00,2025-01-13 10:50:00,7,7,4,0,2025-03-15 06:01:41
Parque Bellan,Lic. Oftalmología,Cerrada,2025-01-13 08:30:00,2025-01-13 11:30:00,18,18,11,0,2025-03-15 06:01:41
Yano Rodriguez,Odontología,Cerrada,2025-01-13 08:30:00,2025-01-13 12:00:00,6,6,3,0,2025-03-15 06:01:41
Paso De La Arena,Nutrición,Cerrada,2025-01-13 08:45:00,2025-01-13 12:45:00,8,9,6,0,2025-03-15 06:01:41
Parque Bellan,Psicología,Cerrada,2025-01-13 08:45:00,2025-01-13 14:45:00,6,6,4,0,2025-03-15 06:01:41
La Teja,Medicina Familiar,Cerrada,2025-01-13 09:00:00,2025-01-13 09:20:00,1,1,0,0,2025-03-15 06:01:41
Los Angeles,Ginecoobstetricia,Cerrada,2025-01-13 09:00:00,2025-01-13 09:40:00,2,2,2,0,2025-03-15 06:01:41
Crottogini,Odontología,Cerrada,2025-01-13 09:00:00,2025-01-13 10:00:00,1,1,1,0,2025-03-15 06:01:41
Casavalle,Odontología,Cerrada,2025-01-13 09:00:00,2025-01-13 10:00:00,2,8,3,0,2025-03-15 06:01:41
Francisco Pucci,Odontología,Cerrada,2025-01-13 09:00:00,2025-01-13 10:00:00,1,1,1,0,2025-03-15 06:01:41
Casabo,Medicina Familiar,Cerrada,2025-01-13 09:00:00,2025-01-13 10:00:00,6,6,6,0,2025-03-15 06:01:41
Casavalle,Odontología,Cerrada,2025-01-13 09:00:00,2025-01-13 10:00:00,2,2,0,0,2025-03-15 06:01:41
Crottogini,Odontología,Cerrada,2025-01-13 09:00:00,2025-01-13 10:30:00,3,3,1,0,2025-03-15 06:01:41
Francisco Pucci,Medicina Familiar,Cerrada,2025-01-13 09:00:00,2025-01-13 10:40:00,5,6,6,0,2025-03-15 06:01:41
Parque Bellan,Oftalmología,Cerrada,2025-01-13 09:00:00,2025-01-13 11:00:00,12,12,8,0,2025-03-15 06:01:41
La Paloma,Pediatría,Cerrada,2025-01-13 09:00:00,2025-01-13 11:00:00,4,5,5,0,2025-03-15 06:01:41
Colon,Nutrición,Cerrada,2025-01-13 09:00:00,2025-01-13 14:45:00,11,12,8,0,2025-03-15 06:01:41
Punta De Rieles,Pediatría,Cerrada,2025-01-13 09:15:00,2025-01-13 09:45:00,2,2,1,0,2025-03-15 06:01:41
Francisco Pucci,Ginecoobstetricia,Cerrada,2025-01-13 09:15:00,2025-01-13 10:30:00,3,3,2,0,2025-03-15 06:01:41
Luisa Tirapare,Odontología,Cerrada,2025-01-13 09:15:00,2025-01-13 12:30:00,6,1,0,0,2025-03-15 06:01:41
La Teja,Medicina Familiar,Cerrada,2025-01-13 09:20:00,2025-01-13 10:40:00,4,5,5,0,2025-03-15 06:01:41
Crottogini,Medicina Familiar,Cerrada,2025-01-13 09:20:00,2025-01-13 11:00:00,5,6,5,0,2025-03-15 06:01:41
Aquiles Lanza,Pediatría,Cerrada,2025-01-13 09:30:00,2025-01-13 10:50:00,4,3,3,0,2025-03-15 06:01:41
La Teja,Odontología,Cerrada,2025-01-13 09:30:00,2025-01-13 11:30:00,4,4,3,0,2025-03-15 06:01:41
Luisa Tirapare,Psicología,Cerrada,2025-01-13 09:30:00,2025-01-13 11:30:00,2,2,2,0,2025-03-15 06:01:41
Giraldez,Pediatría,Cerrada,2025-01-13 09:30:00,2025-01-13 11:30:00,6,7,4,0,2025-03-15 06:01:41
Paso De La Arena,Medicina Familiar,Cerrada,2025-01-13 09:30:00,2025-01-13 12:20:00,8,10,6,0,2025-03-15 06:01:41
Punta De Rieles,Pediatría,Cerrada,2025-01-13 09:45:00,2025-01-13 10:00:00,1,1,1,0,2025-03-15 06:01:41
Jose P. Varela,Odontología,Cerrada,2025-01-13 09:45:00,2025-01-13 10:15:00,2,1,1,0,2025-03-15 06:01:41
Inve 16,Ginecoobstetricia,Cerrada,2025-01-13 09:50:00,2025-01-13 10:30:00,2,2,1,0,2025-03-15 06:01:41
Casabo,Medicina Familiar,Cerrada,2025-01-13 10:00:00,2025-01-13 10:30:00,1,2,2,0,2025-03-15 06:01:41
Francisco Pucci,Odontología,Cerrada,2025-01-13 10:00:00,2025-01-13 11:00:00,2,2,1,0,2025-03-15 06:01:41
Los Angeles,Pediatría,Cerrada,2025-01-13 10:00:00,2025-01-13 11:00:00,2,4,4,0,2025-03-15 06:01:41
Casavalle,Odontología,Cerrada,2025-01-13 10:00:00,2025-01-13 11:00:00,2,2,2,0,2025-03-15 06:01:41
Aquiles Lanza,Medicina Familiar,Cerrada,2025-01-13 10:00:00,2025-01-13 11:20:00,4,5,5,0,2025-03-15 06:01:41
Los Angeles,Odontología,Cerrada,2025-01-13 10:00:00,2025-01-13 11:30:00,3,3,2,0,2025-03-15 06:01:41
Parque Bellan,Medicina Familiar,Cerrada,2025-01-13 10:00:00,2025-01-13 11:30:00,3,3,2,0,2025-03-15 06:01:41
Los Angeles,Medicina Familiar,Cerrada,2025-01-13 10:00:00,2025-01-13 12:00:00,6,7,6,0,2025-03-15 06:01:41
Barrio Sur,Medicina General,Cerrada,2025-01-13 10:00:00,2025-01-13 12:00:00,6,6,5,0,2025-03-15 06:01:41
Los Angeles,Psicología,Cerrada,2025-01-13 10:00:00,2025-01-13 12:00:00,2,4,3,0,2025-03-15 06:01:41
Los Angeles,Ginecoobstetricia,Cerrada,2025-01-13 10:00:00,2025-01-13 12:00:00,4,4,1,0,2025-03-15 06:01:41
Yano Rodriguez,Odontología,Cerrada,2025-01-13 10:00:00,2025-01-13 12:00:00,4,4,4,0,2025-03-15 06:01:41
Crottogini,Odontología,Cerrada,2025-01-13 10:00:00,2025-01-13 12:30:00,5,5,4,0,2025-03-15 06:01:41
La Paloma,Partera,Cerrada,2025-01-13 10:00:00,2025-01-13 12:40:00,8,9,6,0,2025-03-15 06:01:41
Buceo,Medicina Familiar,Cerrada,2025-01-13 10:00:00,2025-01-13 13:00:00,9,9,5,0,2025-03-15 06:01:41
Casavalle,Odontología,Cerrada,2025-01-13 10:00:00,2025-01-13 13:30:00,5,5,2,0,2025-03-15 06:01:41
Inve 16,Psicología,Cerrada,2025-01-13 10:00:00,2025-01-13 16:00:00,6,9,5,0,2025-03-15 06:01:41
Los Angeles,Medicina Familiar,Cerrada,2025-01-13 10:20:00,2025-01-13 11:20:00,2,2,2,0,2025-03-15 06:01:41
La Paloma,Medicina Familiar,Cerrada,2025-01-13 10:30:00,2025-01-13 10:50:00,1,2,2,0,2025-03-15 06:01:41
Casabo,Medicina Familiar,Cerrada,2025-01-13 10:30:00,2025-01-13 10:50:00,1,1,0,0,2025-03-15 06:01:41
Colon,Medicina General,Cerrada,2025-01-13 10:30:00,2025-01-13 11:10:00,2,2,1,0,2025-03-15 06:01:41
La Paloma,Pediatría,Cerrada,2025-01-13 10:30:00,2025-01-13 11:10:00,2,2,1,0,2025-03-15 06:01:41
Francisco Pucci,Ginecoobstetricia,Cerrada,2025-01-13 10:30:00,2025-01-13 11:15:00,2,3,3,0,2025-03-15 06:01:41
Crottogini,Odontología,Cerrada,2025-01-13 10:30:00,2025-01-13 11:30:00,4,4,4,0,2025-03-15 06:01:41
Giraldez,Odontología,Cerrada,2025-01-13 10:30:00,2025-01-13 11:30:00,4,5,2,0,2025-03-15 06:01:41
La Paloma,Odontología,Cerrada,2025-01-13 10:30:00,2025-01-13 12:00:00,3,4,1,0,2025-03-15 06:01:41
Paso De La Arena,Ginecoobstetricia,Cerrada,2025-01-13 10:30:00,2025-01-13 12:00:00,6,2,2,0,2025-03-15 06:01:41
Inve 16,Ginecoobstetricia,Cerrada,2025-01-13 10:30:00,2025-01-13 12:30:00,6,6,2,0,2025-03-15 06:01:41
Zully Sanchez,Medicina General,Cerrada,2025-01-13 10:30:00,2025-01-13 13:30:00,9,9,3,0,2025-03-15 06:01:41
La Teja,Medicina Familiar,Cerrada,2025-01-13 10:40:00,2025-01-13 11:40:00,2,3,0,0,2025-03-15 06:01:41
Aquiles Lanza,Pediatría,Cerrada,2025-01-13 10:50:00,2025-01-13 11:10:00,1,2,1,0,2025-03-15 06:01:41
Casabo,Medicina Familiar,Cerrada,2025-01-13 10:50:00,2025-01-13 11:10:00,1,1,0,0,2025-03-15 06:01:41
Yucatan,Medicina General,Cerrada,2025-01-13 10:50:00,2025-01-13 13:00:00,6,6,6,0,2025-03-15 06:01:41
La Paloma,Trabajo Social,Cerrada,2025-01-13 11:00:00,2025-01-13 11:15:00,1,1,0,0,2025-03-15 06:01:41
Francisco Pucci,Odontología,Cerrada,2025-01-13 11:00:00,2025-01-13 12:00:00,2,3,2,0,2025-03-15 06:01:41
Parque Bellan,Trabajo Social,Cerrada,2025-01-13 11:00:00,2025-01-13 12:30:00,3,3,1,0,2025-03-15 06:01:41
Crottogini,Partera,Cerrada,2025-01-13 11:00:00,2025-01-13 12:40:00,5,1,0,0,2025-03-15 06:01:41
Punta De Rieles,Psicología,Cerrada,2025-01-13 11:00:00,2025-01-13 13:00:00,2,2,2,0,2025-03-15 06:01:41
La Teja,Pediatría,Cerrada,2025-01-13 11:00:00,2025-01-13 13:00:00,6,7,4,0,2025-03-15 06:01:41
Casavalle,Odontología,Cerrada,2025-01-13 11:00:00,2025-01-13 16:00:00,7,7,3,0,2025-03-15 06:01:41
Colon,Medicina General,Cerrada,2025-01-13 11:10:00,2025-01-13 11:55:00,3,3,3,0,2025-03-15 06:01:41
La Paloma,Medicina Familiar,Cerrada,2025-01-13 11:10:00,2025-01-13 12:10:00,2,3,3,0,2025-03-15 06:01:41
Aquiles Lanza,Pediatría,Cerrada,2025-01-13 11:10:00,2025-01-13 12:10:00,2,2,1,0,2025-03-15 06:01:41
Los Angeles,Medicina Familiar,Cerrada,2025-01-13 11:20:00,2025-01-13 13:30:00,8,3,3,0,2025-03-15 06:01:41
La Paloma,Pediatría,Cerrada,2025-01-13 11:30:00,2025-01-13 12:10:00,2,1,1,0,2025-03-15 06:01:41
Luisa Tirapare,Psicología,Cerrada,2025-01-13 11:30:00,2025-01-13 12:30:00,1,1,1,0,2025-03-15 06:01:41
Giraldez,Odontología,Cerrada,2025-01-13 11:30:00,2025-01-13 12:30:00,2,2,2,0,2025-03-15 06:01:41
Giraldez,Pediatría,Cerrada,2025-01-13 11:30:00,2025-01-13 12:30:00,2,1,1,0,2025-03-15 06:01:41
Parque Bellan,Medicina Familiar,Cerrada,2025-01-13 11:30:00,2025-01-13 13:50:00,7,7,5,0,2025-03-15 06:01:41
Casabo,Medicina Familiar,Cerrada,2025-01-13 11:40:00,2025-01-13 12:00:00,1,1,0,0,2025-03-15 06:01:41
Parque Bellan,Medicina General,Cerrada,2025-01-13 12:00:00,2025-01-13 12:20:00,1,1,1,0,2025-03-15 06:01:41
Lavalleja,Partera,Cerrada,2025-01-13 12:00:00,2025-01-13 12:20:00,1,1,1,0,2025-03-15 06:01:41
La Teja,Odontología,Cerrada,2025-01-13 12:00:00,2025-01-13 12:30:00,2,3,2,0,2025-03-15 06:01:41
